Current time: 0.0  Status: Optimal (5.0 ms)   
Current time: 2.9  Status: UserLimit (56.0 ms)   
Current time: 3.0  Status: UserLimit (53.0 ms)   
Current time: 3.0  Status: UserLimit (59.0 ms)   
Current time: 3.1  Status: UserLimit (53.0 ms)   
Current time: 3.1  Status: UserLimit (53.0 ms)   
Current time: 3.2  Status: UserLimit (58.0 ms)   
Current time: 3.2  Status: UserLimit (55.0 ms)   
Current time: 3.3  Status: UserLimit (55.0 ms)   
Current time: 3.3  Status: UserLimit (62.0 ms)   
Current time: 3.4  Status: UserLimit (52.0 ms)   
Current time: 3.4  Status: UserLimit (54.0 ms)   
Current time: 3.5  Status: UserLimit (57.0 ms)   
Current time: 3.5  Status: UserLimit (55.0 ms)   
Current time: 3.6  Status: UserLimit (53.0 ms)   
Current time: 3.6  Status: UserLimit (59.0 ms)   
Current time: 3.7  Status: UserLimit (54.0 ms)   
Current time: 3.7  Status: UserLimit (55.0 ms)   
Current time: 3.8  Status: UserLimit (51.0 ms)   
Current time: 3.8  Status: UserLimit (54.0 ms)   
Current time: 3.9  Status: InFeasible (47.0 ms)   
Current time: 3.9  Status: InFeasible (46.0 ms)   
Current time: 4.0  Status: InFeasible (45.0 ms)   
Current time: 4.0  Status: InFeasible (46.0 ms)   
Current time: 4.1  Status: InFeasible (44.0 ms)   
Current time: 4.1  Status: InFeasible (48.0 ms)   
Current time: 4.2  Status: InFeasible (46.0 ms)   
Current time: 4.2  Status: InFeasible (52.0 ms)   
Current time: 4.3  Status: InFeasible (44.0 ms)   
Current time: 4.3  Status: InFeasible (54.0 ms)   
Current time: 4.4  Status: InFeasible (50.0 ms)   
Current time: 4.4  Status: InFeasible (58.0 ms)   
Current time: 4.5  Status: InFeasible (50.0 ms)   
Current time: 4.5  Status: InFeasible (52.0 ms)   
Current time: 4.6  Status: InFeasible (52.0 ms)   
Current time: 4.6  Status: UserLimit (53.0 ms)   
Current time: 4.7  Status: InFeasible (52.0 ms)   
Current time: 4.7  Status: InFeasible (53.0 ms)   
Current time: 4.8  Status: InFeasible (47.0 ms)   
Current time: 4.8  Status: UserLimit (53.0 ms)   
Current time: 4.9  Status: UserLimit (54.0 ms)   
Current time: 4.9  Status: UserLimit (52.0 ms)   
Current time: 5.0  Status: InFeasible (51.0 ms)   
Current time: 5.1  Status: InFeasible (51.0 ms)   
Current time: 5.1  Status: InFeasible (42.0 ms)   
Current time: 5.2  Status: InFeasible (55.0 ms)   
Current time: 5.2  Status: InFeasible (45.0 ms)   
Current time: 5.3  Status: InFeasible (45.0 ms)   
Current time: 5.3  Status: InFeasible (42.0 ms)   
Current time: 5.4  Status: InFeasible (52.0 ms)   
Current time: 5.4  Status: InFeasible (54.0 ms)   
Current time: 5.5  Status: InFeasible (51.0 ms)   
Current time: 5.5  Status: InFeasible (49.0 ms)   
Current time: 5.6  Status: InFeasible (48.0 ms)   
Current time: 5.6  Status: UserLimit (55.0 ms)   
Current time: 5.7  Status: InFeasible (53.0 ms)   
Current time: 5.7  Status: InFeasible (39.0 ms)   
Current time: 5.8  Status: UserLimit (52.0 ms)   
Current time: 5.8  Status: InFeasible (42.0 ms)   
Current time: 5.9  Status: InFeasible (44.0 ms)   
Current time: 5.9  Status: InFeasible (44.0 ms)   
Current time: 6.0  Status: InFeasible (47.0 ms)   
[ Info: Saved animation to C:\Users\tersal\Documents\Work\Teaching\Vehicle Control Systems\Sessions\Session 24 - Collision imminent steering\codes and models\MotionPlanning\OptimalControl\CaseStudy\CIS\gifholder\MPC.gif
"CollisionImminentManeuver.csv"
